Date,Price,Open,High,Low,Vol.,Change %
13-03-2026,"23,151.10","23,462.50","23,492.40","23,112.00",519.78M,-2.06%
12-03-2026,"23,639.15","23,674.85","23,833.15","23,556.30",501.00M,-0.95%
11-03-2026,"23,866.85","24,231.85","24,299.00","23,834.30",407.40M,-1.63%
10-03-2026,"24,261.60","24,280.80","24,303.80","24,079.95",444.28M,0.0097
09-03-2026,"24,028.05","23,868.05","24,078.15","23,697.80",526.90M,-1.73%
06-03-2026,"24,450.45","24,656.40","24,700.90","24,415.75",433.41M,-1.27%
05-03-2026,"24,765.90","24,615.95","24,854.20","24,529.40",504.34M,0.0117
04-03-2026,"24,480.50","24,388.80","24,602.45","24,305.40",598.99M,-1.55%
02-03-2026,"24,865.70","24,659.25","24,989.35","24,603.50",519.23M,-1.24%
27-02-2026,"25,178.65","25,459.85","25,476.40","25,141.30",438.92M,-1.25%
26-02-2026,"25,496.55","25,556.30","25,572.95","25,400.95",405.22M,0.0006
25-02-2026,"25,482.50","25,512.60","25,652.60","25,428.20",414.21M,0.0023
24-02-2026,"25,424.65","25,641.80","25,641.80","25,327.60",439.07M,-1.12%
23-02-2026,"25,713.00","25,678.40","25,771.45","25,609.35",313.68M,0.0055
20-02-2026,"25,571.25","25,406.55","25,663.55","25,379.75",296.58M,0.0046
19-02-2026,"25,454.35","25,873.35","25,885.30","25,388.75",298.23M,-1.41%
18-02-2026,"25,819.35","25,752.65","25,828.05","25,645.15",310.23M,0.0037
17-02-2026,"25,725.40","25,637.95","25,764.40","25,570.30",344.12M,0.0017
16-02-2026,"25,682.75","25,423.60","25,697.00","25,372.70",275.77M,0.0083
13-02-2026,"25,471.10","25,571.15","25,630.35","25,444.30",453.52M,-1.30%
12-02-2026,"25,807.20","25,906.70","25,906.70","25,752.40",419.39M,-0.57%
11-02-2026,"25,953.85","25,997.45","26,009.40","25,899.80",331.39M,0.0007
10-02-2026,"25,935.15","25,922.65","25,989.45","25,870.45",460.88M,0.0026
09-02-2026,"25,867.30","25,888.70","25,922.25","25,780.90",359.39M,0.0068
06-02-2026,"25,693.70","25,605.80","25,703.95","25,491.90",375.48M,0.002
05-02-2026,"25,642.80","25,755.90","25,757.65","25,579.50",343.81M,-0.52%
04-02-2026,"25,776.00","25,675.05","25,818.55","25,563.95",429.79M,0.0019
03-02-2026,"25,727.55","26,308.05","26,341.20","25,641.30",637.26M,0.0255
02-02-2026,"25,088.40","24,796.50","25,108.10","24,679.40",449.22M,0.0106
01-02-2026,"24,825.45","25,333.75","25,440.90","24,571.75",379.37M,-1.96%
30-01-2026,"25,320.65","25,247.55","25,370.70","25,213.65",508.39M,-0.39%
29-01-2026,"25,418.90","25,345.00","25,458.15","25,159.80",582.39M,0.003
28-01-2026,"25,342.75","25,258.85","25,372.10","25,187.65",574.90M,0.0066
27-01-2026,"25,175.40","25,063.35","25,246.65","24,932.55",618.70M,0.0051
23-01-2026,"25,048.65","25,344.60","25,347.95","25,025.30",393.94M,-0.95%
22-01-2026,"25,289.90","25,344.15","25,435.75","25,168.50",486.40M,0.0053
21-01-2026,"25,157.50","25,141.00","25,300.95","24,919.80",395.62M,-0.30%
20-01-2026,"25,232.50","25,580.30","25,585.00","25,171.35",409.77M,-1.38%
19-01-2026,"25,585.50","25,653.10","25,653.30","25,494.35",443.09M,-0.42%
16-01-2026,"25,694.35","25,696.05","25,873.50","25,662.40",434.04M,0.0011
14-01-2026,"25,665.60","25,648.55","25,791.75","25,603.95",393.13M,-0.26%
13-01-2026,"25,732.30","25,897.35","25,899.80","25,603.30",339.54M,-0.22%
12-01-2026,"25,790.25","25,669.05","25,813.15","25,473.40",275.76M,0.0042
09-01-2026,"25,683.30","25,840.40","25,940.60","25,623.00",348.76M,-0.75%
08-01-2026,"25,876.85","26,106.50","26,133.20","25,858.45",328.52M,-1.01%
07-01-2026,"26,140.75","26,143.10","26,187.15","26,067.90",338.22M,-0.14%
06-01-2026,"26,178.70","26,189.70","26,273.95","26,124.75",383.04M,-0.27%
05-01-2026,"26,250.30","26,333.70","26,373.20","26,210.05",338.78M,-0.30%
02-01-2026,"26,328.55","26,155.10","26,340.00","26,118.40",357.55M,0.007
01-01-2026,"26,146.55","26,173.30","26,197.55","26,113.40",425.63M,0.0006